word1,word2,sim,dir,inv
абажур,торшер,3.0,3,3
абажур,люстра,2.0,2,2
абажур,лампа,1.33,7,1
абажур,свет,1.12,2,1
абажур,ночник,1.12,2,1
абак,счёты,1.12,2,1
абба,швеция,2.0,2,2
аббревиатура,ссср,2.92,4,3
аббревиатура,сокращение,2.0,8,2
аббревиатура,буквы,1.25,4,1
аббревиатура,кгб,1.2,3,1
аббревиатура,вднх,1.12,2,1
абзац,отступ,3.86,4,5
абзац,строка,2.0,3,2
абзац,текст,2.0,2,2
абонемент,библиотека,1.12,1,2
абонент,телефон,1.2,1,3
абордаж,пират,1.12,2,1
абориген,остров,1.12,1,2
аборт,беременность,1.12,2,1
абрикос,персик,1.2,1,3
абрис,контур,1.31,6,1
абрис,профиль,1.12,2,1
абсолют,бог,2.92,3,4
абсолют,совершенство,2.0,2,2
абсолют,водка,1.41,15,1
абсолют,идеал,1.12,2,1
абстракция,кандинский,2.0,2,2
абсцисса,ордината,2.0,4,2
абсцисса,ось,1.2,3,1
абхазия,грузия,1.12,1,2
абхазы,грузины,2.0,2,2
авангард,супрематизм,1.2,1,3
аванс,зарплата,3.75,4,6
аванс,получка,1.2,1,3
аванс,премия,1.12,2,1
авантюра,приключение,2.0,3,2
авария,чернобыль,3.0,3,3
авария,дтп,2.92,4,3
авария,катастрофа,2.0,5,2
авария,происшествие,1.2,1,3
авария,машина,1.2,3,1
авария,дискотека,1.2,3,1
авария,крушение,1.12,1,2
авария,автомобиль,1.12,2,1
август,лето,2.0,4,2
август,месяц,1.35,8,1
август,рим,1.2,3,1
август,путч,1.12,1,2
август,цезарь,1.12,1,2
авель,каин,1.12,1,2
авеню,улица,3.86,5,4
авеню,проспект,1.12,2,1
аверс,реверс,1.2,1,3
авиалайнер,самолёт,1.12,2,1
авиация,самолёт,1.29,5,1
авиация,небо,1.12,2,1
авитаминоз,витамины,2.0,2,2
авоська,сумка,4.81,6,5
авоська,сетка,2.0,5,2
аврора,революция,1.12,1,2
австралия,кенгуру,7.14,12,8
австралия,материк,3.86,4,5
австралия,океания,2.0,2,4
австралия,континент,2.0,2,3
австралия,сидней,2.0,4,2
австралия,канберра,1.12,2,1
австралия,океан,1.12,2,1
австрия,вена,2.75,3,8
авто,машина,3.0,3,3
автобан,трасса,1.12,2,1
автобан,дорога,1.12,1,2
автобус,маршрут,4.81,6,5
автобус,пассажиры,3.0,3,3
автобус,троллейбус,2.92,4,3
автобус,транспорт,2.73,3,9
автобус,остановка,2.68,3,12
автобус,кондуктор,2.0,3,2
автобус,давка,2.0,3,2
автобус,водитель,1.25,4,1
автобус,лиаз,1.12,1,2
автобус,билет,1.12,1,2
автобус,рейс,1.12,1,2
автомат,калашников,8.4,18,10
автомат,пулемёт,4.55,5,8
автомат,газировка,3.5,10,4
автомат,пистолет,2.0,2,6
автомат,магазин,2.0,2,3
автомат,машина,2.0,2,2
автомат,оружие,1.33,1,7
автомат,зачёт,1.2,3,1
автомат,патрон,1.12,1,2
автомат,механизм,1.12,1,2
автомат,ствол,1.12,2,1
автомат,робот,1.12,2,1
автомобиль,машина,14.64,15,16
автомобиль,двигатель,6.0,6,6
автомобиль,бензин,5.0,5,5
автомобиль,транспорт,3.86,4,5
автомобиль,колёса,2.92,4,3
автомобиль,марка,2.92,3,4
автомобиль,скорость,2.92,4,3
автомобиль,победа,2.0,2,4
автомобиль,руль,2.0,10,2
автомобиль,мотор,2.0,3,2
автомобиль,поездка,2.0,2,2
автомобиль,фары,2.0,3,2
автомобиль,водитель,2.0,8,2
автомобиль,сиденье,2.0,2,2
автомобиль,форд,2.0,3,2
автомобиль,колесо,1.38,11,1
автомобиль,дорога,1.38,10,1
автомобиль,права,1.25,1,4
автомобиль,езда,1.2,3,1
автомобиль,волга,1.2,1,3
автомобиль,приз,1.2,3,1
автомобиль,фара,1.2,3,1
автомобиль,концепт,1.2,1,3
автомобиль,газ,1.2,3,1
автомобиль,бибика,1.2,3,1
автомобиль,роскошь,1.2,3,1
автомобиль,шасси,1.12,2,1
автомобиль,шофёр,1.12,2,1
автомобиль,салон,1.12,1,2
автомобиль,авария,1.12,1,2
автомобиль,тачка,1.12,2,1
автомобиль,обгон,1.12,1,2
автомобиль,вольво,1.12,1,2
автомобиль,жук,1.12,1,2
автомобиль,трасса,1.12,2,1
автомобиль,радиатор,1.12,1,2
автомобиль,сигнал,1.12,1,2
автоответчик,телефон,1.12,2,1
автопром,жигули,1.12,1,2
автор,книга,5.0,5,5
автор,писатель,3.6,8,4
автор,творец,2.0,2,3
автор,режиссёр,1.2,3,1
автор,рассказчик,1.2,1,3
автор,поэт,1.12,2,1
автор,создатель,1.12,1,2
автор,художник,1.12,2,1
автостоп,путешествие,2.86,5,3
автостоп,галактика,1.25,4,1
автостоп,попутка,1.25,1,4
автостоп,попутчик,1.2,1,3
автостоп,трасса,1.12,1,2
автостоп,дорога,1.12,2,1
агентство,реклама,1.12,2,1
агнец,ягнёнок,3.0,3,3
агония,смерть,1.29,5,1
агрегат,машина,1.2,1,3
агрегат,аппарат,1.2,3,1
агрегат,механизм,1.12,2,1
агрессия,злость,2.0,2,4
агузарова,жанна,2.0,2,2
агузарова,браво,1.12,2,1
ад,рай,17.64,19,23
ад,дьявол,5.0,5,5
ад,данте,4.81,6,5
ад,пекло,3.32,4,17
ад,смерть,2.81,3,6
ад,сатана,2.78,3,7
ад,чёрт,2.0,4,2
ад,котёл,2.0,2,4
ад,тьма,2.0,2,2
ад,преисподняя,2.0,2,3
ад,зло,1.31,1,6
ад,грех,1.2,3,1
ад,яд,1.2,1,3
ад,демон,1.12,2,1
ад,подземелье,1.12,2,1
ад,израиль,1.12,2,1
адам,ева,12.57,19,14
адам,яблоко,8.71,9,10
адам,ребро,2.78,3,7
адам,рай,1.2,3,1
адам,бог,1.12,2,1
адвокат,прокурор,6.0,6,6
адвокат,суд,3.67,7,4
адвокат,юрист,3.0,3,3
адвокат,закон,2.0,2,2
адвокат,защита,2.0,2,5
адвокат,судья,1.12,1,2
аделаида,аквариум,1.12,1,2
аделаида,звезда,1.12,2,1
аденома,простата,1.12,2,1
адидас,фирма,1.2,1,3
админ,бубен,2.0,3,2
админ,сеть,1.12,2,1
админ,система,1.12,2,1
адмирал,ушаков,2.0,2,2
адмирал,флот,1.25,4,1
адмирал,нахимов,1.2,1,3
адмирал,генерал,1.12,2,1
адмиралтейство,шпиль,2.0,3,2
адольф,гитлер,1.2,1,3
адреналин,экстрим,2.0,2,4
адреналин,опасность,1.2,1,3
адреналин,риск,1.12,1,2
адреналин,скорость,1.12,1,2
адреналин,дофамин,1.12,2,1
адреналин,гормон,1.12,2,1
адрес,письмо,2.0,2,2
адрес,улица,1.2,3,1
адрес,конверт,1.2,1,3
адрес,указатель,1.12,1,2
адрес,индекс,1.12,2,1
адресат,письмо,1.12,2,1
аз,буква,2.0,2,3
азарт,карты,4.55,8,5
азарт,игра,4.2,5,13
азарт,рулетка,2.0,2,2
азарт,выигрыш,1.12,2,1
азбука,алфавит,6.75,8,7
азбука,букварь,6.23,11,7
азбука,буквы,4.67,5,7
азбука,морзе,4.67,5,7
азбука,буква,2.81,3,6
азбука,буратино,1.31,6,1
азбука,арбуз,1.2,3,1
азбука,учебник,1.12,1,2
азбука,книга,1.12,2,1
азбука,чтение,1.12,1,2
азбука,пропись,1.12,2,1
азимов,роботы,2.0,2,2
азимов,робототехника,2.0,2,2
азимов,робот,2.0,2,6
азимов,основание,1.2,1,3
азимов,фантастика,1.12,2,1
азимут,направление,2.0,2,6
азимут,компас,1.12,2,1
азия,европа,5.14,6,12
азия,восток,3.86,5,4
азия,китай,2.75,8,3
азия,евразия,2.0,3,2
азия,азиат,1.2,3,1
азия,индия,1.12,2,1
азия,степь,1.12,2,1
азкабан,узник,1.12,1,2
азот,кислород,2.0,4,2
азот,воздух,1.12,1,2
азот,газ,1.12,2,1
аист,гнездо,2.0,5,2
аист,цапля,2.0,3,2
аист,журавль,1.12,2,1
аист,птица,1.12,1,2
айболит,доктор,5.91,7,14
айболит,бармалей,1.2,3,1
айболит,африка,1.12,2,1
айболит,врач,1.12,2,1
айвазовский,море,2.81,6,3
айвазовский,маринист,1.2,3,1
айвазовский,феодосия,1.12,2,1
айвазовский,вал,1.12,2,1
айкидо,карате,1.12,1,2
айсберг,титаник,3.86,4,5
айсберг,лёд,2.81,3,6
айфон,телефон,4.67,7,5
академик,учёный,1.2,1,3
академия,наука,2.0,3,2
академия,университет,1.12,1,2
акапелла,хор,2.0,2,2
акация,цветок,1.2,3,1
акваланг,кусто,2.0,2,3
акваланг,море,2.0,2,2
акваланг,вода,2.0,3,2
акваланг,дайвинг,2.0,2,6
акваланг,дайвер,1.2,1,3
акваланг,погружение,1.2,1,3
акваланг,ласты,1.12,1,2
акваланг,ныряльщик,1.12,1,2
акваланг,глубина,1.12,2,1
акварель,краски,3.86,4,5
акварель,гуашь,2.92,3,4
акварель,краска,2.0,3,2
акварель,живопись,2.0,3,2
акварель,картина,1.29,5,1
акварель,масло,1.2,1,3
